feature,importance
docking_score,0.33341164315261423
MW,0.09777456412829047
fraction_sp3,0.06827801556893115
permeability,0.06441001185271848
hERG_risk,0.059199411927482175
cLogP,0.04994824584961287
hydrophobic_contacts,0.04593970111246071
shape_complementarity,0.045606697270573794
synthetic_accessibility_like,0.04376719116664138
pi_stacking,0.04175310536815545
logS,0.03400272142815443
TPSA,0.03132913781670167
adme_score,0.024323179351446372
buried_surface_area,0.01702725056287976
hbonds,0.013361102138027464
HBA,0.01322136676912394
rotatable_bonds,0.011222256997435238
HBD,0.0038171237157328952
aromatic_rings,0.001008640426997241
lipinski_violations,0.00059863339602013
veber_pass,0.0
